strain,locusId,gene_id,gene_name,description
ANA3,7024177,ANA3:7024177,Shewana3_1384,hypothetical protein (RefSeq)
ANA3,7024179,ANA3:7024179,Shewana3_1386,glycosyl transferase family protein (RefSeq)
ANA3,7024173,ANA3:7024173,Shewana3_1380,glucose-1-phosphate thymidylyltransferase (RefSeq)
ANA3,7022580,ANA3:7022580,Shewana3_4225,hypothetical protein (RefSeq)
ANA3,7025982,ANA3:7025982,Shewana3_3130,type IV pilus assembly protein PilX (RefSeq)
ANA3,7022582,ANA3:7022582,Shewana3_4227,initiator RepB protein (RefSeq)
ANA3,7022581,ANA3:7022581,Shewana3_4226,"cobyrinic acid a,c-diamide synthase (RefSeq)"
ANA3,7025379,ANA3:7025379,Shewana3_2534,MotA/TolQ/ExbB proton channel (RefSeq)
ANA3,7026027,ANA3:7026027,Shewana3_3172,putative lipoprotein (RefSeq)
ANA3,7024313,ANA3:7024313,Shewana3_1505,intracellular septation protein A (RefSeq)
ANA3,7025471,ANA3:7025471,Shewana3_2626,hypothetical protein (RefSeq)
ANA3,7025987,ANA3:7025987,lspA,lipoprotein signal peptidase (RefSeq)
ANA3,7025655,ANA3:7025655,Shewana3_2806,outer membrane chaperone Skp (OmpH) (RefSeq)
ANA3,7025453,ANA3:7025453,Shewana3_2608,hypothetical protein (RefSeq)
ANA3,7025466,ANA3:7025466,Shewana3_2621,TPR repeat-containing protein (RefSeq)
ANA3,7024970,ANA3:7024970,Shewana3_2141,elongation factor P (RefSeq)
ANA3,7023363,ANA3:7023363,Shewana3_0593,hypothetical protein (RefSeq)
ANA3,7027010,ANA3:7027010,Shewana3_4136,F0F1 ATP synthase subunit A (RefSeq)
ANA3,7024788,ANA3:7024788,Shewana3_1966,hypothetical protein (RefSeq)
ANA3,7025470,ANA3:7025470,Shewana3_2625,MotA/TolQ/ExbB proton channel (RefSeq)
ANA3,7024799,ANA3:7024799,rpsA,30S ribosomal protein S1 (RefSeq)
ANA3,7022948,ANA3:7022948,rplA,50S ribosomal protein L1 (RefSeq)
ANA3,7022970,ANA3:7022970,rplE,50S ribosomal protein L5 (RefSeq)
ANA3,7022978,ANA3:7022978,secY,preprotein translocase subunit SecY (RefSeq)
ANA3,7025663,ANA3:7025663,tsf,elongation factor Ts (RefSeq)
ANA3,7024876,ANA3:7024876,Shewana3_2051,outer membrane lipoprotein carrier protein LolA (RefSeq)
ANA3,7024953,ANA3:7024953,Shewana3_2124,glyceraldehyde-3-phosphate dehydrogenase (RefSeq)
ANA3,7023971,ANA3:7023971,Shewana3_1179,hypothetical protein (RefSeq)
ANA3,7022982,ANA3:7022982,rpsD,30S ribosomal protein S4 (RefSeq)
ANA3,7024987,ANA3:7024987,Shewana3_2158,hypothetical protein (RefSeq)
ANA3,7023445,ANA3:7023445,Shewana3_0675,hypothetical protein (RefSeq)
ANA3,7022751,ANA3:7022751,Shewana3_0006,protein translocase subunit yidC (RefSeq)
ANA3,7022755,ANA3:7022755,Shewana3_0010,"DNA polymerase III, beta subunit (RefSeq)"
ANA3,7024584,ANA3:7024584,Shewana3_1762,uridine kinase (RefSeq)
