gtdb_species_clade_id	gtdb_phylum	pha_class	n_phac_clusters	primary_env	primary_variability
s__0-14-0-80-60-11_sp018897875--GB_GCA_018897875.1	Desulfobacterota	other_pfam	1	other_unknown	unknown
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1	Pseudomonadota	other_pfam	2	soil	high
s__13-2-20CM-66-19_sp005877705--GB_GCA_005877705.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__13-2-20CM-66-19_sp005878095--GB_GCA_005878095.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__13-2-20CM-66-19_sp019247195--GB_GCA_019247195.1	Pseudomonadota	other_pfam	2	soil	high
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1	Pseudomonadota	other_pfam	1	sediment	moderate
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	Cyanobacteriota	other_pfam	1	other_unknown	unknown
s__2-02-FULL-47-50_sp001801885--GB_GCA_001801885.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__2-02-FULL-62-14_sp020028595--GB_GCA_020028595.1	Nitrospirota	other_pfam	1	freshwater	moderate
s__2-02-FULL-63-19_sp001770415--GB_GCA_001770415.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__2-02-FULL-63-19_sp001770425--GB_GCA_001770425.1	Pseudomonadota	other_pfam	4	other_unknown	unknown
s__2-02-FULL-66-14_sp001771975--GB_GCA_001771975.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__2-02-FULL-66-14_sp004298295--GB_GCA_004298295.1	Pseudomonadota	other_pfam	4	freshwater	moderate
s__2-02-FULL-66-22_sp001771285--GB_GCA_001771285.1	Methylomirabilota	other_pfam	1	other_unknown	unknown
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	Methylomirabilota	other_pfam	1	freshwater	moderate
s__2-12-FULL-35-15_sp903847205--GB_GCA_903847205.1	Bacteroidota	other_pfam	1	freshwater	moderate
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	Bacteroidota	other_pfam	2	freshwater	moderate
