gtdb_species_clade_id	n_genomes_with_env	primary_env	n_env_categories	primary_variability	pct_high_var	pct_low_var	phb_status	has_phaC	has_complete_pathway	gtdb_phylum
s__0-14-0-80-60-11_sp018897875--GB_GCA_018897875.1	3	other_unknown	2	unknown	0.0	0.0	synthase_only	1	0	Desulfobacterota
s__0-14-3-00-41-53_sp002780895--GB_GCA_002780895.1	7	freshwater	2	moderate	0.0	0.0	precursors_only	0	0	Nitrospirota
s__01-FULL-36-15b_sp001782035--GB_GCA_001782035.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__01-FULL-44-24b_sp001793235--GB_GCA_001793235.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__01-FULL-45-10b_sp001804205--GB_GCA_001804205.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Omnitrophota
s__01-FULL-45-34b_sp001822675--GB_GCA_001822675.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__01-FULL-48-32b_sp001773725--GB_GCA_001773725.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	6	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__02-FULL-45-11b_sp001817615--GB_GCA_001817615.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__1-14-0-10-31-34_sp018829335--GB_GCA_018829335.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Iainarchaeota
s__1-14-0-10-32-24_sp018655525--GB_GCA_018655525.1	4	marine	1	low	0.0	100.0	absent	0	0	Nanoarchaeota
s__1-14-0-10-37-14_sp002778705--GB_GCA_002778705.1	2	freshwater	2	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__1-14-0-10-45-20_sp007378985--GB_GCA_007378985.1	3	wastewater_engineered	2	high	66.66666666666666	0.0	absent	0	0	Patescibacteria
s__1-14-0-10-47-16_sp002773395--GB_GCA_002773395.1	2	freshwater	2	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__1-14-0-20-42-23_sp002796345--GB_GCA_002796345.1	3	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	UBA10199
s__1-14-0-20-46-22_sp002796245--GB_GCA_002796245.1	2	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__1-14-2-50-31-20_sp018818165--GB_GCA_018818165.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Bacteroidota
s__1109_sp001028815--GB_GCA_001028815.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Bacillota_G
s__12-FULL-43-12b_sp001823875--GB_GCA_001823875.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__12-FULL-44-12b_sp001823695--GB_GCA_001823695.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
