gtdb_species_clade_id	n_genomes_with_emb	total_emb_variance	mean_emb_variance	phb_status	has_phaC	has_complete_pathway	gtdb_phylum	PHB status	genome_size_Mbp	mean_protein_count
s__0-14-3-00-41-53_sp002780895--GB_GCA_002780895.1	7	0.06125040673515911	0.0009570376052368611	precursors_only	0	0	Nitrospirota	phaC-	1.9237207142857142	2150.0
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	0.8406463333333334	875.6666666666666
s__12-FULL-67-14b_sp002737365--GB_GCA_002737365.1	6	0.18407180961423245	0.002876122025222382	precursors_only	0	0	Acidobacteriota	phaC-	3.092268714285714	2991.5714285714284
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	19	0.0	0.0	complete	1	1	Pseudomonadota	phaC+	3.292490210526316	3257.5789473684213
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	6	0.0	0.0	complete	1	1	Pseudomonadota	phaC+	3.9592631666666667	3796.5
s__14-2_sp011960065--GB_GCA_910575555.1	10	0.26760062231144427	0.004181259723616317	precursors_only	0	0	Bacillota_A	phaC-	5.0472107	4904.3
s__14-2_sp910575075--GB_GCA_910575075.1	5	0.19266247854630397	0.0030103512272859996	precursors_only	0	0	Bacillota_A	phaC-	4.0410084	3572.8
s__1XD8-76_sp910573755--GB_GCA_910573755.1	5	0.19266247854630397	0.0030103512272859996	precursors_only	0	0	Bacillota_A	phaC-	4.334307428571428	4061.1428571428573
s__2-01-FULL-37-20_sp001784115--GB_GCA_001784115.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.9647466	977.6
s__2-01-FULL-39-21_sp001792535--GB_GCA_001792535.1	6	0.0	0.0	absent	0	0	Patescibacteria	phaC-	1.0637373333333333	1214.5
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	0.9915258	1017.0
s__2-01-FULL-40-13_sp001789695--GB_GCA_001789695.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-	1.116023	1190.4
s__2-01-FULL-40-42_sp001789965--GB_GCA_001789965.1	7	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.9055064285714285	995.8571428571429
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	6	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.7288748333333334	751.5
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	0.7343503333333333	836.3333333333334
s__2-01-FULL-46-14_sp001777515--GB_GCA_001777515.1	7	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.8859388571428571	969.1428571428571
s__2-02-FULL-39-13_sp002782365--GB_GCA_002782365.1	5	0.08575056942922277	0.0013398526473316057	absent	0	0	Patescibacteria	phaC-	0.6997631999999999	752.0
s__2-02-FULL-40-10_sp001779115--GB_GCA_001779115.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	1.3175956000000002	1314.4
s__2-02-FULL-40-12_sp001824375--GB_GCA_001824375.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.4878048	525.8
s__2-02-FULL-42-43_sp001801425--GB_GCA_001801425.1	5	0.0	0.0	precursors_only	0	0	Pseudomonadota	phaC-	1.7706541999999998	1699.4
s__2-02-FULL-45-18_sp001774075--GB_GCA_001774075.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	0.6719404	702.2
s__2-02-FULL-45-22_sp001796285--GB_GCA_001796285.1	6	0.0	0.0	absent	0	0	Chlamydiota	phaC-	1.5227455	1479.8333333333333
s__2-02-FULL-48-16_sp001821135--GB_GCA_001821135.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-	0.6480964	713.6
s__2-02-FULL-49-12_sp001796315--GB_GCA_001796315.1	7	0.0	0.0	absent	0	0	Chlamydiota	phaC-	1.2637186999999999	1194.8
s__2-02-FULL-50-16-A_sp001828605--GB_GCA_001828605.1	5	0.0	0.0	precursors_only	0	0	Planctomycetota	phaC-	1.8119884	1749.8
s__2-02-FULL-55-14_sp001802945--GB_GCA_001802945.1	5	0.0	0.0	precursors_only	0	0	Bacteroidota	phaC-	3.2903706666666666	2953.8333333333335
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	5	0.030893007663821317	0.0004827032447472081	complete	1	1	Methylomirabilota	phaC+	3.5897973999999997	3910.2
s__2-12-FULL-37-7b_sp001788095--GB_GCA_001788095.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-	0.9985141666666666	1028.0
s__2011-GWC2-44-17_sp001029695--GB_GCA_001029695.1	5	0.49051397968165544	0.007664280932525866	accessory_only	0	0	Patescibacteria	phaC-	1.0535748333333332	1106.5
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	7	0.0	0.0	complete	1	1	Methylomirabilota	phaC+	2.800687714285714	3038.285714285714
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1	6	0.0	0.0	precursors_only	0	0	Chloroflexota	phaC-	2.3376998333333336	2616.3333333333335
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1	8	0.0	0.0	precursors_only	0	0	Gemmatimonadota	phaC-	2.348125875	2353.375
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	7	0.0	0.0	complete	1	1	Nitrospirota	phaC+	1.8479645714285713	1903.857142857143
s__40CM-4-65-16_sp001917775--GB_GCA_005882115.1	7	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-	2.6703684285714284	2913.4285714285716
s__40CM-4-65-16_sp005881335--GB_GCA_005881335.1	5	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-	2.3166266	2656.4
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	5	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-	2.9033908	3183.4
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1	5	0.0	0.0	precursors_only	0	0	Myxococcota	phaC-	4.0910716	4022.6
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	5	0.0	0.0	complete	1	1	Methylomirabilota	phaC+	4.3647678	4674.2
s__AAA044-D11_sp009698045--GB_GCA_009698045.1	7	0.0	0.0	precursors_only	0	0	Actinomycetota	phaC-	1.1133887142857144	1194.4285714285713
s__AAA044-D11_sp009726125--GB_GCA_009726125.1	6	0.0	0.0	precursors_only	0	0	Actinomycetota	phaC-	1.2942578333333332	1307.1666666666667
s__AAA164-E04_sp000383715--GB_GCA_000383715.1	9	0.02303217375820714	0.00035987771497198655	absent	0	0	Verrucomicrobiota	phaC-	4.682479	3953.6
s__AG11_sp013361335--GB_GCA_013361335.1	7	0.0	0.0	precursors_only	0	0	Gemmatimonadota	phaC-	3.831163	3635.714285714286
s__ASP10-02a_sp002335115--GB_GCA_002335115.1	6	0.017085815293991537	0.00026696586396861776	precursors_only	0	0	Pseudomonadota	phaC-	2.4476223571428575	2397.785714285714
s__ATM1_sp003577165--GB_GCA_003577165.1	6	0.5301759763256004	0.008283999630087507	precursors_only	0	0	Armatimonadota	phaC-	2.7531228333333333	2598.8333333333335
s__AV80_sp003134765--GB_GCA_003134765.1	5	0.003955849882326693	6.181015441135457e-05	precursors_only	0	0	Verrucomicrobiota	phaC-	4.204245	3814.6
s__AV80_sp003167555--GB_GCA_003167555.1	7	0.003303579984450647	5.161843725704136e-05	precursors_only	0	0	Verrucomicrobiota	phaC-	4.0250001428571425	3840.0
s__AWTP1-35_sp003962875--GB_GCA_020637215.1	5	0.4164606258318726	0.006507197278623009	precursors_only	0	0	Actinomycetota	phaC-	3.2708223333333333	3209.6666666666665
s__Accumulibacter_cognatus--GB_GCA_013414765.1	8	0.6695196107382894	0.010461243917785771	complete	1	1	Pseudomonadota	phaC+	4.558017	4270.454545454545
s__Acd1_sp000389735--GB_GCA_000389735.1	16	0.23172191107102239	0.0036206548604847248	precursors_only	0	0	Thermoproteota	phaC-	1.234548375	1455.6875
s__Acetanaerobacterium_sp023460535--GB_GCA_023460535.1	5	0.3840915371583962	0.006001430268099941	absent	0	0	Bacillota_A	phaC-	1.939622	1831.8
s__Acetatifactor_intestinalis--RS_GCF_009695995.1	25	0.4440532246175114	0.006938331634648616	precursors_only	0	0	Bacillota_A	phaC-	2.8786088305084747	2677.2881355932204
s__Acetatifactor_sp900066565--GB_GCA_003584705.1	21	0.40217510448181093	0.006283986007528296	precursors_only	0	0	Bacillota_A	phaC-	3.2236383863636364	3010.431818181818
s__Acetobacter_peroxydans--RS_GCF_006539345.1	10	0.03390405757848211	0.000529750899663783	precursors_only	0	0	Pseudomonadota	phaC-	2.4611090833333336	2271.0833333333335
s__Acetobacter_sp012517935--GB_GCA_012517935.1	13	0.019595457241101857	0.0003061790193922165	precursors_only	0	0	Pseudomonadota	phaC-	3.013432714285714	2748.9285714285716
s__Achromobacter_insuavis--RS_GCF_902859645.1	9	0.6027947752747292	0.009418668363667644	complete	1	1	Pseudomonadota	phaC+	6.7037954375	6245.4375
s__Achromobacter_mucicolens--RS_GCF_902859725.1	9	0.6110974105330369	0.009548397039578702	complete	1	1	Pseudomonadota	phaC+	5.661640294117647	5360.941176470588
s__Achromobacter_ruhlandii--RS_GCF_902859695.1	5	0.8228090679564445	0.012856391686819445	complete	1	1	Pseudomonadota	phaC+	6.4575304000000004	5921.65
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1	51	0.4634877958093961	0.007241996809521814	complete	1	1	Pseudomonadota	phaC+	6.5992717460317465	6121.5317460317465
s__Acidiferrobacter_thiooxydans--RS_GCF_003333315.1	5	0.3865778725835834	0.0060402792591184905	precursors_only	0	0	Pseudomonadota	phaC-	2.9631848333333335	2952.6666666666665
s__Acidifodinimicrobium_mancum--GB_GCA_015121965.1	6	0.4512419201296906	0.007050655002026416	absent	0	0	Nanoarchaeota	phaC-	0.49507433333333334	561.0
s__Acidilobus_sp000495735--GB_GCA_000495735.1	12	0.21216456647976914	0.003315071351246393	precursors_only	0	0	Thermoproteota	phaC-	1.3179836666666667	1442.25
s__Acidithiobacillus_ferriphilus--RS_GCF_018854775.1	5	0.7512390294168195	0.011738109834637805	absent	0	0	Pseudomonadota	phaC-	2.582425928571429	2755.0714285714284
s__Acidithiobacillus_ferrooxidans--RS_GCF_000021485.1	7	0.8881336164309747	0.013877087756733979	absent	0	0	Pseudomonadota	phaC-	3.091816	3254.5384615384614
s__Acidocella_sp003164135--GB_GCA_003164135.1	5	0.0	0.0	complete	1	1	Pseudomonadota	phaC+	3.8363547999999996	4086.4
s__Acidoferrum_sp003154775--GB_GCA_003154775.1	6	0.001340836705282685	2.0950573520041955e-05	precursors_only	0	0	Acidobacteriota	phaC-	4.325713666666667	3866.5
s__Acidoferrum_sp003225295--GB_GCA_003225295.1	5	0.0	0.0	precursors_only	0	0	Acidobacteriota	phaC-	7.1881226	6832.8
s__Acidovorax_defluvii--GB_GCA_003268905.1	8	0.422545920315636	0.006602280004931812	complete	1	1	Pseudomonadota	phaC+	3.590166214285714	3459.5
s__Acidovorax_facilis--RS_GCF_023913775.1	12	0.5213027969062141	0.008145356201659595	complete	1	1	Pseudomonadota	phaC+	5.374029	5018.631578947368
s__Acidovorax_sp018828125--GB_GCA_018828125.1	9	0.0	0.0	complete	1	1	Pseudomonadota	phaC+	5.070781	4737.818181818182
