#Annotated with Bakta (v1.12.0): https://github.com/oschwengers/bakta
#Database (v6.0): https://doi.org/10.5281/zenodo.4247252
ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
NZ_CP010537.1_873	322		Tripartite tricarboxylate transporter substrate binding protein						UniRef50_F4GG65
NZ_VTFG01000001.1_393	265		hypothetical protein						
JAIHLZ010000029.1_12	73		hypothetical protein						
NZ_CP010764.1_16	68		hypothetical protein						
NZ_JALJWB010000001.1_1648	111		Ribbon-helix-helix domain-containing protein						UniRef50_A0A3M3EUF3
NZ_CAIZEQ010000022.1_74	168		hypothetical protein						
NZ_AFTF01000204.1_8	280		DUF3037 domain-containing protein						UniRef50_A0A3M3BFH4
NZ_LJRR01000006.1_3	296		Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein						UniRef50_A0A2G6DT37
NZ_VTUB01000420.1_1	499		Colicin-E2						UniRef50_A0A448SKD4
NZ_JAGYSC010000149.1_11	199		Ribosomal RNA small subunit methyltransferase J						UniRef50_A0A485J840
NZ_VCCF02000001.1_1285	187		hypothetical protein						
NZ_JWZZ01000013.1_25	247		Amino acid ABC transporter permease						UniRef50_A0A925KJL3
NZ_JABXPN010000002.1_367	219	terY	Phage/colicin/tellurite resistance cluster TerY protein						UniRef50_R4YP60
NZ_JADVIF010000023.1_41	82		Secreted protein						UniRef50_A0A271QYV4
NZ_JAFHXH010000045.1_1	34		hypothetical protein						
NZ_CABHEL010000054.1_6	472		histidine kinase						UniRef50_A0A2S5QZ84
NZ_JACVAI010000001.1_378	145		Transmembrane protein						UniRef50_Q9HZJ0
NZ_WJZQ01000084.1_20	125		hypothetical protein						
NZ_WFKC01000326.1_4	618		DNA polymerase III subunit gamma/tau						UniRef50_A0A178MW28
NZ_RPNN01000061.1_18	105		hypothetical protein						
NZ_FNYG01000002.1_133	661		Peptidase M10 serralysin C-terminal domain-containing protein						UniRef50_F2KB18
NZ_JADODA010000011.1_60	219		hypothetical protein						
SEEE01000485.1_1	323		hypothetical protein						
NZ_RPII01000004.1_38	741	merA	mercury(II) reductase	1.16.1.1,4.99.1.-					UniRef50_A0A0Q5ZSN6
NZ_CP086206.1_4155	151		RNA-binding protein						UniRef50_A0A8D4C653
NZ_JACYNQ010000012.1_7	205		TPM domain-containing protein						UniRef50_Q88N12
NZ_BGNV01000041.1_11	331	traU	Conjugal transfer protein TraU						UniRef50_A0A1E5JV14
NZ_JABFMS010000006.1_78	109		hypothetical protein						
NZ_CABVJE010000007.1_76	216		Amino acid ABC transporter membrane protein						UniRef50_Q9I487
NZ_LDJF01000008.1_525	66		hypothetical protein						
NZ_MAYQ01000007.1_454	542		Methyl-accepting chemotaxis protein						UniRef50_A0A5E7M3N3
NZ_CP078756.1_2656	89		hypothetical protein						
NZ_JACAPV010000151.1_1	57		hypothetical protein						
NZ_FOTH01000001.1_323	543		ATP-binding component of an ABC superfamily oligopeptide transporter						UniRef50_A0A085AGD1
NZ_WVTU01000079.1_1	127		hypothetical protein						
NZ_CBZM010000421.1_8	92		hypothetical protein						
NZ_JH951856.1_49	78		Winged helix-turn-helix domain-containing protein						UniRef50_A6VBP8
NZ_VKSX01000464.1_1	42		hypothetical protein						
NZ_CABVII010000011.1_50	52		hypothetical protein						
NZ_BRGT01000981.1_1	30		hypothetical protein						
NZ_RPLP01000256.1_1	343		hypothetical protein						
NZ_CABVIR010000005.1_171	274		tRNA pseudouridine synthase A						UniRef50_A0A9X2J730
NZ_FMXH01000007.1_48	117		SPOR domain-containing protein						UniRef50_A0A3M3EMZ2
NZ_CP022411.1_1706	270	minD	Septum site-determining protein MinD						UniRef50_C4K837
NZ_RPHT01000024.1_60	498		Reverse transcriptase domain-containing protein						UniRef50_D3SES5
NZ_MTSA01000013.1_147	84		hypothetical protein						
NZ_LHVJ01000016.1_162	727		TIGR01666 family membrane protein						UniRef50_A0A3G8GH68
NZ_JAHUWM010000018.1_22	68		hypothetical protein						
NZ_PDEH01000001.1_1998	76		hypothetical protein						
NZ_JAFLXG010000009.1_260	112	mazZ	dATP/dGTP diphosphohydrolase MazZ domain-containing protein						UniRef50_A0A7Y6DHJ1
NZ_LGLQ01000311.1_3	178	rutF	FMN reductase (NADH) RutF						UniRef50_A0A2W5T157
NZ_BRHV01000431.1_1	77		hypothetical protein						
NZ_WFHA01000010.1_72	144		hypothetical protein						UniRef50_UPI002E7878D7
NZ_PGSN01000224.1_3	243		hypothetical protein						
NZ_CABVHI010000030.1_64	77		Secreted protein						UniRef50_A0A2V2A959
NZ_JAAAFV010000023.1_168	96		Topoisomerase II						UniRef50_C1DQG0
JALEJR010000008.1_77	218		hypothetical protein						
NVUZ02000044.1_81	170		Glycine cleavage system transcriptional repressor						UniRef50_Q9I634
NZ_VKFH01000023.1_1	92		hypothetical protein						
CP088958.1_2401	349		Cupin						UniRef50_A0A4P5WX51
NZ_JAHCTL010000178.1_1	92		hypothetical protein						
NZ_POHA01000025.1_86	319		hypothetical protein						
NZ_CP045701.2_4145	84		Cell division topological specificity factor						UniRef50_Q8EE12
NZ_JAEACS010000008.1_269	436		DNA circulation N-terminal domain-containing protein						UniRef50_A0A0P9M878
NZ_CP059449.1_1837	135		hypothetical protein						
NZ_CP009048.1_3402	63		DUF3077 domain-containing protein						UniRef50_A0A4P6GJ05
VAUH01000092.1_3	722		Cyanophycin synthetase						UniRef50_Q0KDJ9
NZ_JACAOP010000011.1_228	127		DUF2946 domain-containing protein						UniRef50_A0A0D6T037
NZ_JACOMR010000013.1_113	200	caiE	Carnitine operon protein CaiE						UniRef50_P39206
NZ_JACART010000054.1_2	456		histidine kinase						UniRef50_A0A1K1RG06
JAJOOY010000295.1_1	154		3-oxo-tetronate kinase						UniRef50_A0A8A6WI77
NZ_JFYX01000023.1_33	392		hypothetical protein						
NZ_LJRD01000044.1_17	62		hypothetical protein						
NZ_JACAQP010000036.1_72	532		Resolvase/invertase-type recombinase catalytic domain-containing protein						UniRef50_A0AA35IAR9
NZ_CVOZ01000086.1_3	34		hypothetical protein						
NZ_JACYWP010000003.1_324	487	selO	Protein adenylyltransferase SelO						UniRef50_B6EIM5
NZ_CP072517.1_97	273	marR	MarR family transcriptional regulator						UniRef50_A0A379Y3T1
NZ_JABEXZ010000005.1_428	298		ABC transmembrane type-1 domain-containing protein						UniRef50_A0A060DSU7
NZ_SITE01000044.1_208	1736		hypothetical protein						
JAKWAF010000059.1_147	30		hypothetical protein						
NZ_FYDZ01000008.1_193	137		Cobalt-precorrin-5A hydrolase						UniRef50_A0A6M8MF08
NZ_CP014546.1_5986	117		hypothetical protein						
NZ_JAENSS010000018.1_105	243	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG						UniRef50_A0A5E7T6A9
NZ_FPKB01000009.1_121	114		hypothetical protein						
NZ_KK736218.1_141	296		hypothetical protein						
NZ_RBSC01000274.1_2	98		hypothetical protein						
NZ_ADFZ01000022.1_25	203		hypothetical protein						
NZ_RPLS01000025.1_72	81		hypothetical protein						
PNNT01000221.1_1	97		hypothetical protein						
NZ_CAKKLL010000001.1_819	377	susE	SusE outer membrane protein domain-containing protein						UniRef50_A0A4R0N6Y9
NZ_RPJV01000001.1_258	204		hypothetical protein						
NZ_CP009274.2_4300	130		8-oxo-dGTP diphosphatase						UniRef50_P08337
NZ_VDAO01000001.1_4243	121		DUF3168 domain-containing protein						UniRef50_Q9MCA6
NZ_PVNC01000001.1_889	155		Helix-turn-helix domain-containing protein						UniRef50_A0A0F5JU40
NZ_CP032322.1_1607	170		hypothetical protein						UniRef50_A0A2S1XQ57
NZ_SUQM01000004.1_130	107		hypothetical protein						UniRef50_A0A1D9GRZ5
NZ_JAKMVW010000019.1_26	55		hypothetical protein						
JAEYKL010000079.1_188	322		Transcriptional regulator						UniRef50_A0A0K8P1T1
NZ_JAKWGK010000020.1_49	314		Thioredoxin-like fold domain-containing protein						UniRef50_A0A7G3NPX1
NZ_RBTF01000265.1_3	170		Transcriptional regulator						UniRef50_A0A1V4LJS3
NZ_JACNDV010000001.1_4402	520		SpoVR family protein						UniRef50_A0A1N7RVK5
NZ_AVEF02000233.1_41	544		Benzaldehyde dehydrogenase (NAD(+))						UniRef50_A0A653MHW4
NZ_JACART010000051.1_32	34		hypothetical protein						
NZ_FOPO01000015.1_83	218		VTT domain-containing protein						UniRef50_A0A522TVU7
NZ_SEUB01000006.1_340	107		hypothetical protein						
NZ_JAHSTT010000002.1_456	456	ftsY	Signal recognition particle receptor FtsY						UniRef50_A0A379IL16
DBUN01000206.1_4	93		hypothetical protein						
NZ_QLIN01000013.1_23	235		ATPase						UniRef50_V8R5X6
NZ_LIHW01000087.1_14	363		TauD/TfdA-like domain-containing protein						UniRef50_A0A5E7DKK5
NZ_JABCNF010000001.1_1241	558		M1 family metallopeptidase						UniRef50_A0AAJ2SI37
NZ_CP032339.1_747	691	yjbH	YjbH domain-containing protein						UniRef50_D3NU19
NZ_BQHZ01000008.1_124	97		hypothetical protein						
NZ_FMXV01000016.1_58	145		Lipoprotein						UniRef50_A0A1N7DDV0
NZ_RPMX01000069.1_17	431		hypothetical protein						
JAEORF010000025.1_32	226		Competence protein						UniRef50_A0A3M6H4F3
RZVX01001141.1_1	118		hypothetical protein						
NZ_SUQM01000013.1_52	104		hypothetical protein						
NZ_CP086405.1_432	138		DUF1311 domain-containing protein						UniRef50_A0A2T7BA45
NZ_NEJI01000002.1_681	1032		Error-prone DNA polymerase						UniRef50_A0A0R0CQ01
NZ_CABVJA010000001.1_32	197		Nitroreductase domain-containing protein						UniRef50_N2JJG4
NZ_JAHNEO010000022.1_73	126		Lipoprotein						UniRef50_A0A143IL89
NZ_SNVI01000005.1_207	249		Cyclopentanol dehydrogenase						UniRef50_A0AAN1LVT1
JALKFR010000001.1_2975	131		Transposase						UniRef50_A0A085VMX0
NZ_CP093432.1_63	112		hypothetical protein						
NZ_CP032353.1_3900	191		hypothetical protein						
NZ_VLLZ01000334.1_1	78		hypothetical protein						
NZ_JACARK010001063.1_2	257		Metal-dependent hydrolase						UniRef50_A0A2X3CIK1
NZ_BLXQ01000470.1_1	125		hypothetical protein						
MHZP01000110.1_17	488		Allantoin permease						UniRef50_A0A5E7EHM8
NZ_AJLG01000053.1_9	224		Exonuclease domain-containing protein						UniRef50_A0A0Q4LHI4
NZ_JABWNR020000088.1_2	33		hypothetical protein						
NZ_LCZB01000065.1_140	403		Cytochrome b						UniRef50_A0A976EG07
NZ_JABMCV010000331.1_1	274		HEPN AbiJ-N-terminal domain-containing protein						UniRef50_A0A1F2MDK1
NZ_JAAMPY010000003.1_740	50		hypothetical protein						
NZ_JRTV01000011.1_4	151		Chaperone protein Skp						UniRef50_A0A3S4FYR1
NZ_CADCYI010000056.1_1	46		hypothetical protein						
NZ_QEHQ01000098.1_2	270		Cation transport protein						UniRef50_A0A3S4LZ51
NZ_JACAQV010000026.1_61	47		hypothetical protein						
