root_og	n_genes	n_organisms	mean_importance	max_importance	taxonomic_tier	hypothesis_status	n_species	n_phyla	mean_fitness	any_strong_fitness	any_named_domain	any_gapmind
COG0172	4	4	15.998162530891184	23.997243796336775	kingdom	weak_lead	27431.0	142.0	0.7039369824999999	False	False	True
COG0468	1	1	23.9972010257257	23.9972010257257	kingdom	true_knowledge_gap	27427.0	142.0	1.1353939	False	False	False
COG0484	4	2	17.997234093862048	23.996312125149398	kingdom	weak_lead	27344.0	139.0	0.55417075	False	True	False
COG0443	2	1	19.996345093544903	23.995614112253886	kingdom	true_knowledge_gap	27279.0	139.0	1.43516195	False	True	False
COG0438	42	20	15.809712838201502	23.9935641897411	kingdom	weak_lead	27089.0	142.0	2.0643292197674423	True	True	True
COG0358	16	10	16.995379939806817	23.993477562080212	kingdom	weak_lead	27081.0	141.0	0.835742933125	True	True	False
COG0210	9	9	16.794141454545368	23.991630649350526	kingdom	weak_lead	26911.0	138.0	0.631422629	False	True	True
COG0681	3	3	21.3241930564419	23.98971718849714	kingdom	true_knowledge_gap	26736.0	133.0	1.5762055666666666	True	False	False
COG0563	7	7	18.277846328369186	23.98967330598456	kingdom	weak_lead	26732.0	136.0	1.0478699642857143	True	True	True
COG0454	20	12	18.65825901683783	23.989190164505782	kingdom	weak_lead	26688.0	138.0	1.0480221585714287	True	True	False
COG0456	49	24	16.631986399472297	23.98844192231581	kingdom	weak_lead	26620.0	140.0	1.1842971436	True	True	True
COG0745	18	11	16.880693392430445	23.98835376819063	kingdom	weak_lead	26612.0	137.0	1.4783136799999999	True	True	False
COG4974	11	9	17.444974546960626	23.986840002070863	kingdom	weak_lead	26475.0	138.0	0.9048948654545454	True	True	False
COG0272	1	1	23.98625228215738	23.98625228215738	kingdom	true_knowledge_gap	26422.0	129.0	0.32903293	False	False	False
COG0465	1	1	23.98525156125989	23.98525156125989	kingdom	true_knowledge_gap	26332.0	131.0	0.71881646	False	False	False
COG0697	150	28	15.539627013720985	23.98399024625747	kingdom	weak_lead	26219.0	130.0	0.92307609364375	True	True	True
COG3118	12	10	14.759206436892402	23.983710459950153	kingdom	weak_lead	26194.0	137.0	1.1315959676923075	True	True	True
COG0593	5	4	15.98870688397576	23.98306032596364	kingdom	weak_lead	26136.0	131.0	2.0034262800000002	True	True	False
COG0707	3	3	21.31814614076125	23.982914408356407	kingdom	true_knowledge_gap	26123.0	136.0	1.3280013666666666	False	True	False
COG1196	50	30	18.400298492321976	23.980716887534378	kingdom	weak_lead	25928.0	137.0	1.180228140943396	True	True	True
COG1475	25	19	17.524336965789278	23.98067163739585	kingdom	weak_lead	25924.0	134.0	0.7841255696153847	True	True	False
COG0740	2	2	19.983458965326932	23.98015075839232	kingdom	weak_lead	25878.0	130.0	0.9109960500000001	False	True	False
COG0451	38	22	12.989193066953522	23.980048738991115	kingdom	weak_lead	25869.0	142.0	0.8497113437500001	True	True	True
COG0491	17	8	16.45682615574838	23.9799466840905	kingdom	weak_lead	25860.0	140.0	0.7334781217647058	False	True	True
COG0042	2	2	15.98604047837723	23.979060717565844	kingdom	strong_hypothesis	25782.0	116.0	2.7076432	True	True	False
