orgId	locusId	assigned_organism	covering_step	composite_score	desc	darkness_tier	n_evidence_lines	evidence_summary	annotation_class	is_essential_dark	top_condition_class
MR1	199240	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199286	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199325	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199453	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370323	MR1	1	0.1275	conserved hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199611	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199612	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	199684	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370221	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942659	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942661	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	200079	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	200081	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942663	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	200178	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	200181	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
