orgId	locusId	min_rank	max_rank	mean_rank	rank_range	n_configs_top50	n_configs_top100	in_top50_all	in_top100_all	original	equal	fitness_dominant	conservation_dominant	drop_biogeographic	drop_tractability
pseudo5_N2C3_1	AO356_11255	1	92	16.166666666666668	91	5	6	False	True	1	1	1	1	92	1
MR1	202463	1	3	2.3333333333333335	2	6	6	True	True	2	3	2	3	1	3
MR1	199738	1	3	2.3333333333333335	2	6	6	True	True	2	3	2	3	1	3
MR1	203545	3	11	5.833333333333333	8	6	6	True	True	4	6	4	7	3	11
MR1	202450	4	12	6.833333333333333	8	6	6	True	True	5	8	6	6	4	12
pseudo5_N2C3_1	AO356_18320	5	13	8.666666666666666	8	6	6	True	True	6	9	7	12	5	13
pseudo1_N1B4	Pf1N1B4_3696	6	16	9.666666666666666	10	6	6	True	True	7	10	11	8	6	16
MR1	201124	7	18	11.333333333333334	11	6	6	True	True	8	12	14	9	7	18
pseudo5_N2C3_1	AO356_15270	7	18	11.333333333333334	11	6	6	True	True	8	12	14	9	7	18
MR1	203247	7	18	11.333333333333334	11	6	6	True	True	8	12	14	9	7	18
MR1	203720	2	44	13.166666666666666	42	6	6	True	True	11	3	9	2	10	44
Marino	GFF2506	11	30	17.5	19	6	6	True	True	12	15	24	13	11	30
MR1	203026	5	53	17.166666666666668	48	5	6	False	True	13	7	13	5	12	53
Marino	GFF1827	13	32	19.166666666666668	19	6	6	True	True	14	16	26	14	13	32
MR1	201809	5	70	27.166666666666668	65	5	6	False	True	15	11	5	48	14	70
MR1	201731	10	150	41.0	140	5	5	False	False	16	22	10	150	15	33
Marino	GFF1367	15	35	21.166666666666668	20	6	6	True	True	17	17	27	15	16	35
MR1	202474	15	35	21.166666666666668	20	6	6	True	True	17	17	27	15	16	35
pseudo5_N2C3_1	AO356_17245	17	39	23.666666666666668	22	6	6	True	True	19	20	29	17	18	39
pseudo5_N2C3_1	AO356_08210	19	58	30.0	39	5	6	False	True	20	23	20	58	19	40
Putida	PP_0765	2	67	35.833333333333336	65	4	6	False	True	21	58	21	46	67	2
MR1	203631	12	43	26.5	31	6	6	True	True	22	35	12	27	20	43
Keio	18268	19	45	28.833333333333332	26	6	6	True	True	23	24	41	19	21	45
Keio	16530	20	47	30.0	27	6	6	True	True	24	25	42	20	22	47
MR1	199559	19	290	73.5	271	5	5	False	False	25	36	19	290	23	48
MR1	202608	25	52	35.0	27	5	6	False	True	26	27	31	52	25	49
MR1	199636	8	240	68.33333333333333	232	4	5	False	False	27	19	8	240	24	92
pseudo5_N2C3_1	AO356_01105	26	67	39.833333333333336	41	4	6	False	True	28	34	30	67	26	54
MR1	202208	21	56	34.5	35	5	6	False	True	29	26	48	21	27	56
MR1	200452	23	58	36.0	35	5	6	False	True	30	27	50	23	28	58
Keio	17261	23	58	36.0	35	5	6	False	True	30	27	50	23	28	58
pseudo5_N2C3_1	AO356_09635	23	58	36.0	35	5	6	False	True	30	27	50	23	28	58
Marino	GFF287	26	71	41.333333333333336	45	4	6	False	True	33	33	54	26	31	71
Marino	GFF3678	18	404	100.33333333333333	386	4	5	False	False	34	42	18	404	32	72
Btheta	353429	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
WCS417	GFF1426	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
Putida	PP_4628	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
DvH	209482	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
pseudo3_N2E3	AO353_06515	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
DvH	209182	3	228	87.5	225	4	4	False	False	35	228	33	192	34	3
pseudo5_N2C3_1	AO356_10905	33	201	72.5	168	4	5	False	False	41	41	40	201	33	79
pseudo5_N2C3_1	AO356_12710	28	83	50.5	55	4	6	False	True	42	37	72	28	41	83
Smeli	SMc01001	18	140	51.5	122	5	5	False	False	43	21	47	18	40	140
MR1	203454	30	87	53.0	57	4	6	False	True	44	40	75	30	42	87
DvH	206682	14	263	108.0	249	2	4	False	False	45	263	57	217	52	14
Phaeo	GFF1616	15	342	129.66666666666666	327	3	4	False	False	46	276	44	342	55	15
MR1	202985	31	93	57.166666666666664	62	4	6	False	True	47	43	86	31	43	93
pseudo1_N1B4	Pf1N1B4_2130	31	93	57.166666666666664	62	4	6	False	True	47	43	86	31	43	93
pseudo5_N2C3_1	AO356_04430	31	93	57.166666666666664	62	4	6	False	True	47	43	86	31	43	93
Putida	PP_0766	17	271	112.33333333333333	254	2	4	False	False	50	271	59	221	56	17
Keio	14528	22	811	182.66666666666666	789	2	5	False	False	51	64	22	811	49	99
MR1	199597	22	811	182.66666666666666	789	2	5	False	False	51	64	22	811	49	99
Keio	14308	35	109	64.16666666666667	74	3	5	False	False	53	47	93	35	48	109
acidovorax_3H11	Ac3H11_3276	18	280	117.83333333333333	262	1	4	False	False	54	280	62	232	61	18
Smeli	SMc04209	17	473	149.83333333333334	456	3	4	False	False	54	39	17	473	47	269
pseudo3_N2E3	AO353_04865	18	280	117.83333333333333	262	1	4	False	False	54	280	62	232	61	18
Smeli	SMc02875	27	274	83.5	247	3	5	False	False	54	27	49	51	46	274
PV4	5210578	18	280	117.83333333333333	262	1	4	False	False	54	280	62	232	61	18
Ponti	CA264_06090	18	280	117.83333333333333	262	1	4	False	False	54	280	62	232	61	18
MR1	202849	51	222	92.33333333333333	171	0	4	False	False	60	51	60	222	51	110
Marino	GFF338	36	118	68.83333333333333	82	2	5	False	False	61	48	96	36	54	118
BFirm	BPHYT_RS19100	25	357	144.66666666666666	332	1	4	False	False	62	302	56	357	66	25
psRCH2	GFF1886	26	342	137.33333333333334	316	2	4	False	False	63	342	50	276	67	26
Smeli	SMc03109	22	291	88.33333333333333	269	2	5	False	False	64	27	73	22	53	291
MR1	201972	40	119	63.5	79	2	5	False	False	64	56	45	40	57	119
Marino	GFF1368	40	119	63.5	79	2	5	False	False	64	56	45	40	57	119
Marino	GFF4032	53	236	101.66666666666667	183	0	4	False	False	67	53	69	236	59	126
MR1	203092	32	588	156.33333333333334	556	1	4	False	False	67	68	32	588	60	123
psRCH2	GFF3859	27	358	144.66666666666666	331	1	4	False	False	69	358	55	289	70	27
pseudo5_N2C3_1	AO356_23240	25	366	121.33333333333333	341	1	4	False	False	69	75	25	366	65	128
Putida	PP_0909	28	300	130.83333333333334	272	1	4	False	False	71	300	74	243	69	28
