orgId	locusId	gene_cluster_id	n_species	breadth_class	s_pangenome	s_pangenome_v2	breadth_subscore_orig	breadth_subscore_new	total_score	total_score_v2	rank_orig	rank_v2	rank_change
pseudo5_N2C3_1	AO356_11255	NZ_CP012831.1_2249	24.0	universal	0.9	0.9	0.5	0.5	0.714985759375	0.714985759375	1	1	0
MR1	202463	NC_004347.2_3140	11.0	universal	1.0	0.775	0.5	0.275	0.6975	0.66375	2	6	-4
MR1	199738	NZ_CP053946.1_1031	5.0	universal	1.0	0.625	0.5	0.125	0.6975	0.64125	2	15	-13
MR1	203545	NC_004347.2_4158	10.0	universal	1.0	0.75	0.5	0.25	0.6944895614583333	0.6569895614583332	4	9	-5
MR1	202450	NC_004347.2_3128	13.0	universal	1.0	0.825	0.5	0.325	0.6932625625	0.6670125625	5	5	0
pseudo5_N2C3_1	AO356_18320	NZ_JACNDD010000022.1_30	15.0	universal	1.0	0.875	0.5	0.375	0.6893344239583333	0.6705844239583333	6	3	3
pseudo1_N1B4	Pf1N1B4_3696	NZ_JACNDV010000001.1_3245	2.0	universal	1.0	0.55	0.5	0.05	0.687139296875	0.619639296875	7	43	-36
MR1	201124	NC_004347.2_1830	1.0	universal	1.0	0.525	0.5	0.025	0.6849999999999999	0.6137499999999999	8	62	-54
pseudo5_N2C3_1	AO356_15270	NZ_FONJ01000050.1_23	2.0	universal	1.0	0.55	0.5	0.05	0.6849999999999999	0.6174999999999999	8	49	-41
MR1	203247	NC_004347.2_3866	22.0	universal	1.0	1.0	0.5	0.5	0.6849999999999999	0.6849999999999999	8	2	6
MR1	203720	NC_004347.2_4320	10.0	universal	1.0	0.75	0.5	0.25	0.6799999999999999	0.6425	11	13	-2
Marino	GFF2506	NC_017506.1_2449	15.0	universal	1.0	0.875	0.5	0.375	0.67810759375	0.6593575937499999	12	8	4
MR1	203026	NC_004347.2_3677	3.0	universal	1.0	0.575	0.5	0.075	0.676540453125	0.612790453125	13	64	-51
Marino	GFF1827	JAGLCV010000243.1_9	12.0	universal	1.0	0.8	0.5	0.3	0.6758305625	0.6458305624999999	14	11	3
MR1	201809	NC_004347.2_2481	7.0	universal	1.0	0.675	0.5	0.175	0.6741666666666667	0.6254166666666666	15	29	-14
MR1	201731	NC_004347.2_2404	4.0	universal	1.0	0.6	0.5	0.1	0.67371613125	0.6137161312499999	16	63	-47
Marino	GFF1367	NZ_CP076686.1_2143	6.0	universal	1.0	0.65	0.5	0.15	0.6725	0.62	17	35	-18
MR1	202474	NC_004347.2_3151	10.0	universal	1.0	0.75	0.5	0.25	0.6725	0.635	17	22	-5
pseudo5_N2C3_1	AO356_17245	NZ_JACNDD010000153.1_1	11.0	universal	1.0	0.775	0.5	0.275	0.67110425625	0.63735425625	19	19	0
pseudo5_N2C3_1	AO356_08210	NZ_JACNDQ010000003.1_513	7.0	universal	1.0	0.675	0.5	0.175	0.6701720520833333	0.6214220520833333	20	33	-13
Putida	PP_0765	NZ_NBWA01000007.1_52	21.0	universal	0.9	0.9	0.5	0.5	0.6675000000000001	0.6675000000000001	21	4	17
MR1	203631	NZ_CP053946.1_328	5.0	universal	1.0	0.625	0.5	0.125	0.6658333333333333	0.6095833333333333	22	71	-49
Keio	18268	NZ_JAATUR010000006.1_103	13.0	universal	1.0	0.825	0.5	0.325	0.664908925	0.638658925	23	18	5
Keio	16530	NZ_JALMSS010000003.1_148	4.0	universal	1.0	0.6	0.5	0.1	0.66408334375	0.60408334375	24	88	-64
MR1	199559	NC_004347.2_339	7.0	universal	1.0	0.675	0.5	0.175	0.6630367135416666	0.6142867135416665	25	59	-34
