orgId	locusId	desc	annotation_class	max_abs_fit	top_condition_class	top_condition_fit	n_specific_phenotypes	n_condition_classes	gene_cluster_id	is_core	is_auxiliary	module	module_prediction	OG_id	og_n_organisms	essentiality_class	is_essential_dark	essential_prediction	n_domains	domain_names	top_cofit_partners	top_cofit_score	s_fitness	s_conservation	s_inference	s_pangenome	s_biogeographic	s_tractability	total_score
pseudo5_N2C3_1	AO356_11255	hypothetical protein	hypothetical	3.3595443	nitrogen source	3.3595443	2	2.0	NZ_CP012831.1_2249	False	True	M018	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	OG00711	48.0	variably_essential	False		1.0	EamA			0.6199430375	0.6	0.6499999999999999	0.9	0.9	0.85	0.714985759375
MR1	202463	conserved hypothetical protein (NCBI ptt file)	hypothetical	6.355357	stress	6.355357	6	2.0	NC_004347.2_3140	True	False	M013	PF01145	OG01937	32.0	variably_essential	False		1.0	YGGT			0.85	0.6	0.6499999999999999	1.0	0.0	0.85	0.6975
MR1	199738	conserved hypothetical protein (NCBI ptt file)	hypothetical	5.504226	nitrogen source	5.504226	6	1.0	NZ_CP053946.1_1031	True	False	M036	K03306	OG04616	24.0	variably_essential	False		2.0	Gcw_chp | TIGR02001			0.85	0.6	0.6499999999999999	1.0	0.0	0.85	0.6975
MR1	203545	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.9569993	nitrogen source	3.9569993	6	1.0	NC_004347.2_4158	True	False	M036	K03306	OG02495	14.0	never_essential	False		1.0	DUF4124			0.8446249124999999	0.5916666666666667	0.6499999999999999	1.0	0.0	0.85	0.6944895614583333
MR1	202450	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.864402	nitrogen source	3.864402	6	3.0	NC_004347.2_3128	True	False	M023	K03306	OG00572	45.0	variably_essential	False		1.0	Gly_transporter			0.83305025	0.6	0.6499999999999999	1.0	0.0	0.85	0.6932625625
pseudo5_N2C3_1	AO356_18320	hypothetical protein	hypothetical	3.7920349	motility	3.7920349	6	3.0	NZ_JACNDD010000022.1_30	True	False	M000	PF00460	OG07010	14.0	never_essential	False		2.0	MotY_N | OmpA			0.8240043625	0.5916666666666667	0.6499999999999999	1.0	0.0	0.85	0.6893344239583333
pseudo1_N1B4	Pf1N1B4_3696	FIG00955360: hypothetical protein	hypothetical	3.6684575	pH	3.6684575	5	3.0	NZ_JACNDV010000001.1_3245	True	False	M001	PF00361	OG02716	16.0	never_essential	False		1.0	DUF3108			0.8085571875	0.6	0.6499999999999999	1.0	0.0	0.85	0.687139296875
MR1	201124	conserved hypothetical protein (NCBI ptt file)	hypothetical	5.010497	nitrogen source	5.010497	4	2.0	NC_004347.2_1830	True	False	M008	PF01144	OG00977	32.0	never_essential	False		2.0	HgmA_N | HgmA_C			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.6849999999999999
pseudo5_N2C3_1	AO356_15270	hypothetical protein	hypothetical	5.587468	carbon source	5.587468	4	1.0	NZ_FONJ01000050.1_23	True	False	M025	PF02589	OG00336	33.0	variably_essential	False		1.0	LrgB			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.6849999999999999
MR1	203247	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.6191206	stress	4.6191206	4	4.0	NC_004347.2_3866	True	False	M001	PF01145	OG00856	27.0	variably_essential	False		1.0	GBBH-like_N			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.6849999999999999
