gene_cluster_id	root_og	narrowest_og	n_tax_levels	breadth_class	COG_category	EC	KEGG_ko	PFAMs	Description	n_species	n_clusters
CP081170.1_2012	32S75	2UEC0	4	universal	-	-	-	-	-	1	1
NZ_CP010756.1_2235	330KF	34FHB	5	universal	S	-	-	DUF5333	Family of unknown function (DUF5333)	1	1
CP081166.1_449	32SG3	34FW8	5	universal	S	-	-	Phage_TAC_11	Phage tail tube protein, GTA-gp10	2	2
CP081212.1_3533	32T64	34FNH	5	universal	-	-	-	-	-	1	1
NZ_CP010623.1_1926	331JA	34FYJ	5	universal	-	-	-	-	-	2	2
CP081243.1_2115	COG3749	34FS8	5	universal	S	-	-	DUF934	Bacterial protein of unknown function (DUF934)	16	17
CP081221.1_3548	COG2315	34FHP	5	universal	S	-	-	YjbR	YjbR	13	14
CP081216.1_2524	31TU1	34GGI	5	universal	-	-	-	-	-	2	2
NZ_CP031948.1_684	33HHQ	2UKSP	4	universal	-	-	-	-	-	1	1
NZ_CP010696.1_146	COG3631	34FKC	5	universal	S	-	-	SnoaL_2	SnoaL-like polyketide cyclase	22	40
NC_018290.1_3513	332UY	34FQM	5	universal	S	-	-	DUF1761	Protein of unknown function (DUF1761)	1	1
CP081252.1_1661	33XZ7	34GH0	5	universal	-	-	-	-	-	1	1
NZ_JACHED010000002.1_313	COG1733	arCOG01057	2	universal	K	-	-	HxlR,PadR	Transcriptional regulator	6	13
NZ_JACDUK010000003.1_233	COG1342	23R17	4	universal	S	-	ko:K06933	DUF134	Belongs to the UPF0251 family	3	3
NC_015847.1_1423	COG1993	23R4Z	4	universal	T	-	ko:K09137	DUF190	Uncharacterized ACR, COG1993	6	7
NZ_CP010741.1_2296	33V9H	2TYDX	4	universal	-	-	-	-	-	1	1
NZ_CP010725.1_438	32ACV	34FPZ	5	universal	S	-	-	DUF3307	Protein of unknown function (DUF3307)	2	2
NZ_JACDUI010000001.1_820	COG3355	23R13	4	universal	K	-	-	TrmB	PFAM Transcriptional regulator TrmB	1	1
NZ_CP026606.1_91	COG1786	23R0C	4	universal	C	-	ko:K09128	DUF126	Belongs to the UPF0107 family	4	4
NZ_CP010625.1_57	COG4315	43KQB	5	universal	S	-	-	Lipoprotein_15	Secreted repeat of unknown function	13	13
CP081275.1_3134	32V3E	34FV0	5	universal	-	-	-	-	-	1	1
NZ_CP026606.1_1757	COG2083	23R33	4	universal	S	-	ko:K09737	DUF61	Belongs to the UPF0216 family	1	1
NZ_CP010705.1_2266	31DTG	34FP2	5	universal	-	-	-	-	-	1	1
CP081221.1_60	COG4731	34FJ8	5	universal	S	-	-	DUF2147	Uncharacterized protein conserved in bacteria (DUF2147)	13	19
CP081170.1_2365	COG1739	34FN2	5	universal	S	-	-	UPF0029	Uncharacterized protein family UPF0029	14	14
NZ_JACHIQ010000001.1_227	arCOG05110	23RKW	4	universal	-	-	-	-	-	1	1
NZ_JACDUM010000003.1_66	COG4854	23RAV	4	universal	S	-	-	DUF2178	Predicted membrane protein (DUF2178)	1	2
NZ_AP011526.1_736	COG4854	23RAV	4	universal	S	-	-	DUF2178	Predicted membrane protein (DUF2178)	1	2
NZ_CP010599.1_2814	COG3651	34FQT	5	universal	S	-	ko:K09966	DUF2237	Uncharacterized protein conserved in bacteria (DUF2237)	5	5
NZ_CP010610.1_3536	COG3755	34GJS	5	universal	S	-	-	LprI	Lysozyme inhibitor LprI	19	32
NZ_CP010735.1_115	32RW3	34FTG	5	universal	S	-	-	DUF2794	Protein of unknown function (DUF2794)	5	5
NZ_KI421498.1_2165	30R84	34FT6	5	universal	-	-	-	-	-	2	2
NZ_CP020120.1_353	COG4048	23R0S	4	universal	S	-	-	DUF2111	Uncharacterized protein conserved in archaea (DUF2111)	1	1
NC_005791.1_489	arCOG05051	arCOG05051	2	universal	S	-	-	DUF2283	Protein of unknown function (DUF2283)	1	2
NC_005791.1_476	arCOG06612	arCOG06612	2	universal	-	-	-	-	-	1	2
NZ_JACHEC010000002.1_181	COG1710	23R56	4	universal	L	-	-	-	quorum sensing	1	1
NZ_JACHIQ010000001.1_707	COG1844	23QW7	4	universal	S	-	ko:K09727	DUF356	Protein of unknown function (DUF356)	1	1
NZ_JACDUN010000001.1_1380	arCOG08244	arCOG08244	2	universal	-	-	-	-	-	1	3
NZ_CP031948.1_2147	2ZIKY	34GKA	5	universal	-	-	-	-	-	1	1
NZ_CP010595.1_1834	33KNS	2UNDH	4	universal	-	-	-	-	-	1	1
CP081280.1_1066	33XQN	34GGS	5	universal	-	-	-	-	-	1	1
CP081243.1_98	32S9D	34FTP	5	universal	-	-	-	-	-	2	2
NZ_JAGINF010000008.1_6	arCOG04982	23RQ1	4	universal	-	-	-	-	-	1	1
NZ_AP011526.1_1025	COG1935	23R4X	4	universal	S	-	ko:K09135	DUF473	Protein of unknown function (DUF473)	1	1
NC_005791.1_485	arCOG05051	23RMP	4	universal	S	-	-	DUF2283	Protein of unknown function (DUF2283)	1	2
NZ_JAGEUG010000001.1_920	3322H	34FY3	5	universal	-	-	-	-	-	1	1
NZ_CP010745.1_918	COG5462	34FRM	5	universal	S	-	-	-	secreted (Periplasmic) protein	2	2
CP081248.1_2938	34060	34FNG	5	universal	-	-	-	-	-	1	1
JACCQJ010000001.1_37	arCOG07635	arCOG07635	2	universal	-	-	-	-	-	1	2
NZ_CP010668.1_1943	312ZU	34GGV	5	universal	-	-	-	-	-	1	1
CP081230.1_2707	330YF	34FZF	5	universal	-	-	-	-	-	1	1
CP081170.1_1916	32RPQ	2UECG	4	universal	S	-	-	DUF1353	Protein of unknown function (DUF1353)	1	2
NZ_JACDUI010000001.1_529	arCOG08255	arCOG08255	2	universal	S	-	-	DUF4186	Domain of unknown function (DUF4186)	1	1
NZ_JACDUI010000001.1_154	COG4009	23R88	4	universal	S	-	-	DUF749	Domain of unknown function (DUF749)	1	1
NZ_CP010623.1_1254	339FZ	34GG5	5	universal	S	-	-	Gly-zipper_Omp	Glycine zipper	1	1
NZ_CP010595.1_2968	32S0I	34FW2	5	universal	-	-	-	-	-	1	1
CP081266.1_2006	31FS9	34FP7	5	universal	-	-	-	-	-	1	1
NZ_JAFBBC010000002.1_211	COG2158	23R2Y	4	universal	S	-	ko:K07162	zf-like	PFAM Cysteine-rich small domain	1	1
NZ_JACDUI010000003.1_271	arCOG08244	arCOG08244	2	universal	-	-	-	-	-	1	3
CP081248.1_1147	32ZNG	34FTK	5	universal	-	-	-	-	-	1	1
CP081243.1_3554	319M2	34FH2	5	universal	S	-	-	Lin0512_fam	Conserved hypothetical protein (Lin0512_fam)	2	2
NZ_JACDUN010000001.1_678	COG1417	23R40	4	universal	S	-	-	DUF22	Domain of unknown function DUF22	1	1
NZ_CP010623.1_3014	32T1W	34FR2	5	universal	-	-	-	-	-	2	2
CP081257.1_1292	COG4765	34FUU	5	universal	S	-	-	DUF2155	Uncharacterized protein conserved in bacteria (DUF2155)	4	4
NZ_JACDUM010000001.1_67	COG2456	23R5T	4	universal	S	-	ko:K09153	DUF2304	Uncharacterized conserved protein (DUF2304)	1	1
NC_018290.1_3066	32XHH	2UE1F	4	universal	-	-	-	-	-	1	1
NZ_JACDUN010000001.1_1705	arCOG05070	23R1Q	4	universal	S	-	-	-	Uncharacterized protein, homolog of nitrogen regulatory protein PII	1	1
NZ_JACDUN010000001.1_1577	arCOG06604	arCOG06604	2	universal	-	-	-	-	-	1	1
NZ_JACDUN010000001.1_486	arCOG05115	23R72	4	universal	-	-	-	-	-	1	1
JACCQJ010000001.1_359	arCOG04937	23RA1	4	universal	-	-	-	-	-	1	1
NZ_CP010595.1_2136	315U5	34FPC	5	universal	-	-	-	-	-	2	2
NZ_JACHEC010000004.1_81	arCOG06647	arCOG06647	2	universal	-	-	-	-	-	1	1
NZ_JACDUI010000002.1_50	COG2983	23R3Z	4	universal	S	-	ko:K09160	-	Putative zinc- or iron-chelating domain	16	16
CP081252.1_1725	32Z2M	2UHDJ	4	universal	-	-	-	-	-	2	2
CP081230.1_1971	COG3737	34FPN	5	universal	S	-	-	DUF498	Protein of unknown function (DUF498/DUF598)	11	11
NZ_CP031948.1_685	31GAQ	2UAHU	4	universal	-	-	-	-	-	1	1
NC_018290.1_1848	32W7B	2UTFX	4	universal	-	-	-	-	-	1	1
CP081240.1_462	COG5416	34FN3	5	universal	S	-	-	LapA_dom	Pfam:DUF1049	13	14
CP081235.1_1009	32Y67	34FYZ	5	universal	-	-	-	-	-	1	1
CP081230.1_1491	30NSR	34FRS	5	universal	-	-	-	-	-	1	1
NZ_JACDUN010000001.1_1064	arCOG07962	23R9A	4	universal	-	-	-	-	-	1	1
NZ_KI421498.1_3165	300VP	34GKE	5	universal	-	-	-	-	-	1	1
CP081262.1_3498	317AV	34FSI	5	universal	-	-	-	-	-	2	2
CP081252.1_3389	32NV5	34FP0	5	universal	S	-	-	Lin0512_fam	Conserved hypothetical protein (Lin0512_fam)	1	1
NZ_CP026606.1_480	arCOG05149	arCOG05149	2	universal	-	-	-	-	-	1	1
NZ_CP010756.1_2715	2ZGMG	34GJ3	5	universal	-	-	-	-	-	1	1
NZ_CP010705.1_3322	327RQ	34FVS	5	universal	-	-	-	SHOCT	-	1	1
NC_018290.1_2201	32RPQ	34GGT	5	universal	S	-	-	DUF1353	Protein of unknown function (DUF1353)	1	2
CP081248.1_2939	33KT8	2UMPJ	4	universal	-	-	-	-	-	1	1
CP081240.1_558	334GT	34FVH	5	universal	-	-	-	-	-	1	1
CP081222.1_205	32DTS	34GM7	5	universal	-	-	-	-	-	1	1
JACCQJ010000001.1_131	arCOG06642	arCOG06642	2	universal	-	-	-	-	-	1	1
NZ_CP031948.1_962	COG2343	34FRQ	5	universal	S	-	-	NTP_transf_9	Domain of unknown function (DUF427)	9	11
NZ_KI421498.1_637	334DV	34FZP	5	universal	-	-	-	-	-	1	1
NC_018290.1_569	34914	34GHU	5	universal	-	-	-	-	-	1	1
CP081257.1_3436	31316	34GGX	5	universal	S	-	-	DUF2853	Protein of unknown function (DUF2853)	3	3
NZ_JACHIQ010000001.1_743	COG1885	23R2Q	4	universal	S	-	ko:K09731	DUF555	Belongs to the UPF0212 family	1	1
NZ_JACDUO010000001.1_1044	arCOG08239	arCOG08239	2	universal	-	-	-	-	-	1	2
NZ_JACDUO010000001.1_848	arCOG06651	23RQY	4	universal	-	-	-	-	-	1	1
NZ_JAGEUG010000004.1_359	330Z4	34GHB	5	universal	-	-	-	-	-	2	2
CP081275.1_830	30KAU	34FRX	5	universal	-	-	-	-	-	1	1
CP081248.1_1179	COG3502	34FQ7	5	universal	S	-	-	DUF952	Protein of unknown function (DUF952)	4	4
NZ_CP020120.1_543	COG4744	23RMG	4	universal	S	-	-	DUF2149	Uncharacterized conserved protein (DUF2149)	5	7
