#Annotated with Bakta (v1.12.0): https://github.com/oschwengers/bakta
#Database (v6.0): https://doi.org/10.5281/zenodo.4247252
ID	Length	Mol Weight [kDa]	Iso El. Point	Pfam hits
JAIHLZ010000029.1_12	73	8.5
NZ_JAFHXH010000045.1_1	34	3.5
SEEE01000485.1_1	323	35.4
NZ_LDJF01000008.1_525	66	7.3
NZ_CP078756.1_2656	89	9.5
NZ_VKSX01000464.1_1	42	4.3
NZ_CABVII010000011.1_50	52	5.9
NZ_BRGT01000981.1_1	30	3.3
NZ_MTSA01000013.1_147	84	9.4
NZ_JAHUWM010000018.1_22	68	8.1
NZ_PDEH01000001.1_1998	76	7.8
NZ_WFHA01000010.1_72	144	15.6
NZ_PGSN01000224.1_3	243	26.0
NZ_VKFH01000023.1_1	92	9.9
NZ_JAHCTL010000178.1_1	92	10.1
NZ_JFYX01000023.1_33	392	44.3
NZ_LJRD01000044.1_17	62	6.7
NZ_CVOZ01000086.1_3	34	3.7
NZ_SITE01000044.1_208	1736	180.5
JAKWAF010000059.1_147	30	3.3
NZ_RBSC01000274.1_2	98	11.6
NZ_RPLS01000025.1_72	81	8.8
NZ_CP032322.1_1607	170	18.6
NZ_SUQM01000004.1_130	107	11.4
NZ_JACART010000051.1_32	34	4.2
NZ_RPMX01000069.1_17	431	38.1
RZVX01001141.1_1	118	13.3
NZ_SUQM01000013.1_52	104	10.7
NZ_CP032353.1_3900	191	20.8
NZ_CADCYI010000056.1_1	46	5.6
NZ_JACAQV010000026.1_61	47	5.3
BQGD01000027.1_87	166	19.0
NZ_AP021845.1_160	300	33.0
NZ_BIFZ01000107.1_42	35	4.3
NZ_BLXQ01000413.1_1	79	8.8
NZ_WKAC01000212.1_1	49	5.5
NZ_JAMYCZ010000006.1_1	81	9.2
NZ_LIIH01000106.1_26	144	16.3
NZ_PVWV01000118.1_1	92	7.3
NZ_RXQE01000020.1_35	144	15.9
NZ_NRIQ01000024.1_30	71	7.7
MLEI01000199.1_1	170	18.6
NZ_JAMDPJ010000037.1_1	99	11.2
DILI01000020.1_1	370	40.3
LJPN01000293.1_1	45	4.9
NZ_VLLS01000246.1_1	91	9.8
NZ_RPMX01000029.1_55	203	21.7
NZ_CP023963.1_2807	83	9.7
NZ_VLMO01001256.1_1	22	2.5
NZ_VLMX01000683.1_1	79	8.6
NZ_JVXL01000280.1_12	185	20.4
CP081271.1_2862	52	5.4
NZ_VLMC01000242.1_1	87	9.2
NZ_JADRBM010000005.1_299	433	48.9
NZ_RPDQ01000015.1_16	140	14.0
NZ_JACNQW010000007.1_1	85	9.4
NZ_WKBC01000194.1_6	113	12.7
NZ_RBUU01000293.1_37	32	3.7
JQNA01000001.1_1275	190	21.9
NZ_JAGTYD010000024.1_7	105	11.5
NZ_MULM01000172.1_104	46	4.9
CAKXWJ010000116.1_1	126	13.8
NZ_VLNJ01000578.1_1	84	9.4
NZ_PYHB01000061.1_1	110	12.2
NZ_JAKMMH010000003.1_211	33	3.7
NZ_SNVI01000008.1_219	191	22.1
NZ_RWIQ01000116.1_1	239	24.4
NZ_JAEILC010000043.1_18	138	15.3
NZ_JAJFTC010000013.1_25	91	10.3
NZ_PQWP01000168.1_43	116	12.5
PGYX01000840.1_2	81	8.9
NZ_WHPV01000245.1_1	43	5.1
NZ_PXUF01000113.1_1	50	5.5
NZ_SWGY01000025.1_55	27	2.7
NZ_CP032353.1_1930	179	20.0
NZ_JAIZFZ010000058.1_7	21	2.5
NZ_JAFGZB010000006.1_176	421	47.7
NZ_CP011525.1_1443	170	19.0
NZ_QAYQ01000120.1_23	75	8.3
NZ_VKUD01001023.1_1	72	8.0
NZ_UNXK01000007.1_222	58	6.7
NZ_LCYA01000014.1_9	87	9.0
NZ_CP085885.1_2720	170	18.9
RZVG01000222.1_1	258	28.9
NZ_JPIR01000506.1_1	72	7.8
NZ_AEJW01000088.1_1	98	11.0
NZ_CABVII010000011.1_14	67	7.9
NZ_CABVIK010000001.1_326	82	9.4
NZ_CDMF01000001.1_1688	100	11.2
NZ_VKVJ01001106.1_1	71	8.2
BQGG01000226.1_1	163	18.3
NZ_WJRU01000008.1_1	74	8.0
NZ_LPQD01000056.1_241	142	16.3
NZ_JAHYQD010000017.1_140	67	7.5
NZ_JAKMLE010000002.1_214	186	21.5
GG774704.1_540	184	21.2
NZ_FXRQ01000145.1_1	154	18.0
NZ_RBUL01000106.1_1	216	NA7.2
JAKONX010000226.1_1	26	2.9
NZ_CP038001.1_2960	77	8.6
NZ_JACDIU010000025.1_24	170	19.6
NKIF01000005.1_142	29	3.0
NZ_WKCM01000048.1_1	49	5.6
NZ_RBRA01000039.1_5	233	25.6
NZ_VSRJ01000027.1_34	159	18.0
NZ_VDFZ01000089.1_12	160	18.3
NZ_JAJMNG010000728.1_1	176	20.4
WWRS01000210.1_1	99	11.7
NZ_POFF01000158.1_1	86	9.6
