#Annotated with Bakta (v1.12.0): https://github.com/oschwengers/bakta
#Database (v6.0): https://doi.org/10.5281/zenodo.4247252
ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
NZ_CP010537.1_873	322	tctC	Tricarboxylate transport protein TctC					UPI0005AF63C4	UniRef100_A0A0C4YPH1,UniRef50_F4GG65,UniRef90_A0A0C4YPH1
NZ_VTFG01000001.1_393	265		Metallophosphoesterase family protein						UniRef50_A0A5E6VRF5,UniRef90_A0A7S7MPP5
JAIHLZ010000029.1_12	73		hypothetical protein						
NZ_CP010764.1_16	68		DUF4177 domain-containing protein				WP_102895989.1	UPI000C9D06E5	UniRef100_UPI000C9D06E5,UniRef50_A0A497VBG0,UniRef90_UPI000C9D06E5
NZ_JALJWB010000001.1_1648	111		Ribbon-helix-helix domain-containing protein				WP_150717230.1	UPI000F96A8AB	UniRef100_A0A5E6UFS7,UniRef50_A0A0F7Y2S4,UniRef90_J3FN26
NZ_CAIZEQ010000022.1_74	168		Major tail tube protein (Protein FII)				WP_001280988.1	UPI00018858E9	UniRef100_B7LNA8,UniRef50_A0A1C6YVF4,UniRef90_B7LNA8
NZ_AFTF01000204.1_8	280		DUF3037 domain-containing protein				WP_003373423.1	UPI0002096B2E	UniRef100_A0A2V0QIK8,UniRef50_A0A3M3BFH4,UniRef90_A0A3M3BFH4
NZ_LJRR01000006.1_3	296	ptrB	Protease II			COG1770,E	WP_145915080.1	UPI000B031092	UniRef100_UPI0005CAB710,UniRef50_A0A7U7EMJ5,UniRef90_Q87Y90
NZ_VTUB01000420.1_1	499		S-type pyocin domain-containing protein						UniRef50_A0A0H3CJF7,UniRef90_UPI0037DD00D6
NZ_JAGYSC010000149.1_11	199	yhiQ	Protein YhiQ	2.1.1.242					UniRef50_C5WC51,UniRef90_A0A376FDI9
NZ_VCCF02000001.1_1285	187		HTH merR-type domain-containing protein						UniRef50_A0A7U7PQ17
NZ_JWZZ01000013.1_25	247	hisM	ABC-type amino acid transport system, permease component protein			COG0765,E	WP_013236251.1	UPI0001DB9E32	UniRef100_D8IUR3,UniRef50_A0A0N1JSI2,UniRef90_D8IUR3
NZ_JABXPN010000002.1_367	219	terY	TerY family phage/colicin/tellurite resistance protein			COG4245,S	WP_057631338.1	UPI0005DBDB0B	UniRef100_A0AA91IRQ8,UniRef50_R4YP60,UniRef90_A0AA91IRQ8
NZ_JADVIF010000023.1_41	82		Secreted protein				WP_200020451.1	UPI001905D5A9	UniRef100_UPI001905D5A9,UniRef50_A0A271QYV4,UniRef90_A0A271QYV4
NZ_JAFHXH010000045.1_1	34		hypothetical protein						
NZ_CABHEL010000054.1_6	472		sensor histidine kinase	2.7.13.3					UniRef50_A0A2S5QZ84,UniRef90_UPI0012B8B246
NZ_JACVAI010000001.1_378	145		Transmembrane protein				WP_192301835.1	UPI00177BB093	UniRef100_UPI00177BB093,UniRef50_Q9HZJ0,UniRef90_UPI001912E521
NZ_WJZQ01000084.1_20	125	marR	Multiple antibiotic resistance protein MarR				WP_237500271.1	UPI001F2A4003	UniRef100_A0A109LEK6,UniRef50_A0A3M3EN57,UniRef90_A0A2H2ZCP4
NZ_WFKC01000326.1_4	618	dnaX	DNA polymerase III subunit gamma/tau	2.7.7.7	GO:0003887,GO:0006260	COG2812,L	WP_200479893.1	UPI00190D0A83	UniRef100_UPI00190D0A83,UniRef50_D3NXM1,UniRef90_A0A0P0EZ66
NZ_RPNN01000061.1_18	105		Lytic transglycosylase catalytic subunit						UniRef50_I2E264
NZ_FNYG01000002.1_133	661		Delta-60 repeat domain-containing protein				WP_092144617.1	UPI0008761E01	UniRef100_UPI0008761E01,UniRef50_F2KB18,UniRef90_A0A1K1M811
NZ_JADODA010000011.1_60	219	ydiV	Anti-FlhC(2)FlhD(4) factor YdiV						UniRef50_A0A379SL03
SEEE01000485.1_1	323		hypothetical protein						
NZ_RPII01000004.1_38	741	merA	mercury(II) reductase	1.16.1.1,4.99.1.-	GO:0016152,GO:0045340,GO:0046689,GO:0050660,GO:0050661,GO:0050787		WP_127646319.1	UPI000FDC1733	UniRef100_UPI000FDC1733,UniRef50_A0A0Q5ZSN6,UniRef90_UPI000FDC1733
NZ_CP086206.1_4155	151		RNA-binding protein				WP_005790949.1	UPI0002600154	UniRef100_A0A7S7MSD1,UniRef50_L0GIT3,UniRef90_A0A0D0TJ28
NZ_JACYNQ010000012.1_7	205		TPM domain-containing protein				WP_200430744.1	UPI001907F75C	UniRef100_UPI001907F75C,UniRef90_A0A031IT43
NZ_BGNV01000041.1_11	331	traU	conjugal transfer pilus assembly protein TraU				WP_110921459.1	UPI000DA26030	UniRef100_UPI000DA26030,UniRef50_P18471,UniRef90_UPI000DA26030
NZ_JABFMS010000006.1_78	109		Thioredoxin domain-containing protein				WP_175359956.1	UPI00158517FC	UniRef100_A0AAJ3FUB0,UniRef50_A0A246FUQ6,UniRef90_A0AAJ3FUB0
NZ_CABVJE010000007.1_76	216	artQ	Arginine transport system permease protein ArtQ				WP_150672477.1	UPI000F94D0F5	UniRef100_A0A5E7T7Z8,UniRef50_Q9I487,UniRef90_A0A5E7F917
NZ_LDJF01000008.1_525	66		hypothetical protein						
NZ_MAYQ01000007.1_454	542		Methyl-accepting chemotaxis protein				WP_065617247.1	UPI00080E59F4	UniRef100_UPI00080E59F4,UniRef50_A0A5E7M3N3,UniRef90_A0A5E7SKL5
NZ_CP078756.1_2656	89		hypothetical protein						
NZ_JACAPV010000151.1_1	57	lysR	LysR substrate binding domain-containing protein						UniRef50_A0A560RXS1,UniRef90_A0A560RXS1
NZ_FOTH01000001.1_323	543	cntF	staphylopine uptake ABC transporter ATP-binding protein CntF				WP_092142226.1	UPI0008714977	UniRef100_UPI0008714977,UniRef50_A0A0D0TL25,UniRef90_A0A0D0TL25
NZ_WVTU01000079.1_1	127		ABC transporter ATP-binding protein						UniRef50_UPI0011DE8687
NZ_CBZM010000421.1_8	92	dppD	ABC-type dipeptide transporter			COG0444,EP	WP_032455029.1	UPI00050C4430	UniRef100_UPI000E2DE09E,UniRef50_A0A9Q8C528,UniRef90_A0A9Q8C528
NZ_JH951856.1_49	78		Winged helix-turn-helix domain-containing protein				WP_080115813.1	UPI0009AC209A	UniRef100_A0A5E6R9I0,UniRef50_Q88AU4,UniRef90_A0A0F4TG99
NZ_VKSX01000464.1_1	42		hypothetical protein						
NZ_CABVII010000011.1_50	52		hypothetical protein					UPI0012524163	UniRef100_A0A5E7KCI8,UniRef50_A0A5E7KCI8,UniRef90_A0A5E7KCI8
NZ_BRGT01000981.1_1	30		hypothetical protein						
NZ_RPLP01000256.1_1	343		BID domain-containing protein				WP_164841559.1	UPI000FE06721	UniRef100_UPI000FE06721,UniRef50_A0A7W6BK42,UniRef90_UPI00139FD129
NZ_CABVIR010000005.1_171	274	truA	tRNA pseudouridine(38-40) synthase TruA	5.4.99.12	GO:0001522,GO:0003723,GO:0009451,GO:0009982		WP_150632502.1	UPI0012418B43	UniRef100_A0A5E7M6J2,UniRef50_O87016,UniRef90_A0A1H2B756
NZ_FMXH01000007.1_48	117		Sporulation related domain-containing protein				WP_092144371.1	UPI000876AE67	UniRef100_UPI000876AE67,UniRef50_A0A3M3EMZ2,UniRef90_A0A1K1MIL0
NZ_CP022411.1_1706	270	minD	septum site-determining protein MinD		GO:0000918,GO:0016887	COG2894,D	WP_007913953.1	UPI00026FC87C	UniRef100_A0A423NFQ1,UniRef50_P57411,UniRef90_A0A1H2KGB5
NZ_RPHT01000024.1_60	498		RNA-directed DNA polymerase				WP_127643423.1	UPI000FD7C709	UniRef100_UPI000FD7C709,UniRef50_D3SES5,UniRef90_UPI000FD7C709
NZ_MTSA01000013.1_147	84		hypothetical protein						
NZ_LHVJ01000016.1_162	727	yccS	Integral membrane protein YccS N-terminal domain-containing protein				WP_042729640.1	UPI0005B2FCA2	UniRef100_A0A423G6H6,UniRef50_A0AAP0ZNK8,UniRef90_A0A0Q4ETI6
NZ_JAHUWM010000018.1_22	68		hypothetical protein						
NZ_PDEH01000001.1_1998	76		hypothetical protein					UPI0007065FBA	UniRef100_A0A0N9ZNJ4,UniRef50_Q1LNB7,UniRef90_A0A0N9ZNJ4
NZ_JAFLXG010000009.1_260	112	mazZ	dATP/dGTP diphosphohydrolase MazZ domain-containing protein				WP_223025922.1	UPI001CA73F0A	UniRef100_UPI001CA73F0A,UniRef50_A0A7Y6DHJ1,UniRef90_A0A5M9IV01
NZ_LGLQ01000311.1_3	178		flavin reductase				WP_054098266.1	UPI0006B8A0F4	UniRef100_UPI0006B8A0F4,UniRef50_P75893,UniRef90_UPI0006B8A0F4
NZ_BRHV01000431.1_1	77		isocitrate dehydrogenase kinase/phosphatase-domain containing protein						UniRef50_UPI00313E464A
NZ_WFHA01000010.1_72	144		hypothetical protein				WP_077251652.1	UPI0007211F84	UniRef100_A0A417ZRW4,UniRef50_A0A2N4Z200,UniRef90_A0A2N4Z200
NZ_PGSN01000224.1_3	243		hypothetical protein						
NZ_CABVHI010000030.1_64	77		Secreted protein				WP_150633097.1	UPI00124128C6	UniRef100_A0A5E6V9M2,UniRef50_A0A2V2A959,UniRef90_A0A5E6XV63
NZ_JAAAFV010000023.1_168	96		Topoisomerase II				WP_003214319.1	UPI00014D2014	UniRef100_A0A8I0CUW3,UniRef50_G3XCX8,UniRef90_A0A5D3G8K4
JALEJR010000008.1_77	218		glycosyltransferase						UniRef50_UPI0019505356
NVUZ02000044.1_81	170		Glycine cleavage system transcriptional repressor				WP_024077761.1	UPI00000B7F9A	UniRef100_O05136,UniRef50_W6R042,UniRef90_O05136
NZ_VKFH01000023.1_1	92		hypothetical protein						
CP088958.1_2401	349		Cupin						UniRef50_A0A4P5WX51,UniRef90_Q31KP2
NZ_JAHCTL010000178.1_1	92		hypothetical protein						
NZ_POHA01000025.1_86	319		TauD/TfdA-like domain-containing protein				WP_054594541.1	UPI0006CADF54	UniRef100_A0A2N8C580,UniRef50_A0A2N8C580,UniRef90_A0A2N8C580
NZ_CP045701.2_4145	84	minE	cell division topological specificity factor MinE		GO:0032955,GO:0051301		WP_003179111.1	UPI000204158A	UniRef100_A0A0D0PIC1,UniRef50_Q8EE12,UniRef90_Q87YC6
NZ_JAEACS010000008.1_269	436		Hydroxyacid dehydrogenase				WP_106118181.1	UPI000D02649B	UniRef100_A0A2T0I6J3,UniRef50_A0A0P9M878,UniRef90_A0A2T0I6J3
NZ_CP059449.1_1837	135		ACT domain-containing protein						UniRef50_V6F1R1
